date,country,node,geoNode,status,nodeType,voltage,activeLoad,reactiveLoad,activePowerMW,reactivePowerMVar,minGenMW,maxGenMWminGenVar,maxGenVar,primCtrl%,nomPowerPrimCtrlMW,shortCircuitPowerMVar,XR_Ratio,plantType
2007-05-01,PT,PVG-VM21,VG-VM4-ED,0,0,220.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPNC-F21,PNC-FE-RA,0,0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PT.OUT21,T.OUTEIRO,0,2,220.0,0.0,0.0,-588.3,-23.2,0.0,-1032.0,372.0,-450.0,,,,,
2007-05-01,PT,PRR-CN21,RR-CN-TG,0,0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPP-TB21,PP-TBA-FL,0,0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PVG-AM21,VG-AMM1-S,0,0,219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PBEMPO11,BEMPOSTA2,0,2,400.0,0.0,0.0,0.2,37.4,0.0,-203.0,77.0,-99.0,,,,,
2007-05-01,PT,PPM-SN11,PM-SN3-FN,0,0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEDRS11,PEDRS,0,0,399.1,0.0,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PF.TUA11,F.TUA,0,2,400.0,0.0,0.0,0.1,-17.8,134.2,-134.2,117.4,-117.4,,,,,
2007-05-01,PT,PFALAG12,FALAGUEIRA,0,0,402.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFALAG13,FALAGUEIRA,0,0,402.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEDRA12,PEDRALVA,0,0,395.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEDRA13,PEDRALVA,0,0,395.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XCA_AL11,XCA_AL11,0,0,384.0,-433.7,230.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XCA_AL12,XCA_AL12,0,0,384.0,-433.7,230.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XCE_FR11,XCE_FR11,0,0,402.7,-138.2,22.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XSA_PN21,XSA_PN21,0,0,219.9,-94.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XAL_PN22,XAL_PN22,0,0,220.1,-131.2,19.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XBR_AV11,XBR_AV11,0,0,402.1,-50.6,-48.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XPU_TV11,XPU_TV11,0,0,404.0,-135.3,-61.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XAL_PN21,XAL_PN21,0,0,220.1,-132.8,19.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,XAL_LG11,XAL_LG11,0,0,400.8,-672.7,7.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PN.COR31,N.CORVO,0,0,148.6,40.1,10.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PQ.ANJ31,Q.ANJO,0,0,150.3,16.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEGOE31,PEGOES,0,0,150.4,3.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEGOE32,PEGOES,0,0,150.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PFOGUE31,FOGUETEIRO,0,0,150.4,3.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PQ.GRA31,Q.GRANDE,0,0,150.5,1.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRODAO31,RODAO,0,0,150.1,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PLUZIA31,LUZIANES,0,0,150.3,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PLUSOS31,LUSOSIDE,0,0,150.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PRODAO32,RODAO,0,0,150.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCOG-A31,COG-ATS,0,0,150.2,5.3,0.9,-16.8,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEAF_31,PEAF,0,0,148.7,0.0,0.0,-3.4,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEMGR31,PEMGR,0,0,150.5,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPENI_31,PENI,0,0,150.8,0.0,0.0,-5.4,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEBRV31,PEBRV,0,0,150.5,0.0,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEGU_31,PEGU,0,0,150.4,0.0,0.0,-5.9,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PPEAM_31,PEAM,0,0,148.6,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PCOG-C31,COG-CSNC,0,0,150.2,35.4,4.7,-68.4,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PMAIA_21,MAIA,0,0,220.0,78.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PGOUVE21,GOUVEIA,0,0,218.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PMORTA21,MORTAGUA,0,0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PMORTA22,MORTAGUA,0,0,218.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSOBRA21,SOBRAL,0,0,219.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PGOUVE22,GOUVEIA,0,0,218.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSOBRA22,SOBRAL,0,0,219.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2007-05-01,PT,PSEIXA21,SEIXAL,0,0,220.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
